Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Windows Server 2025,Docker-WSL2,Container,7zip,total_rating,MIPS,10,15097.1,15118.5,110.2718,0.73,14921.0,15257.0,1.32,98.68,8,15099.125,15118.5,86.8717,0.58,1.47,98.53,0
Windows Server 2025,Docker-WSL2,Container,cgroup,7zip_cgroup_nr_throttled,count,10,94.1,93.0,11.8364,12.58,71.0,111.0,,,8,94.875,93.0,7.9,8.33,,,1
Windows Server 2025,Docker-WSL2,Container,cgroup,7zip_cgroup_throttled_usec,us,10,19173.0,18681.5,2409.6535,12.57,14704.0,22845.0,,,8,19272.625,18681.5,1635.452,8.49,,,1
Windows Server 2025,Docker-WSL2,Container,cgroup,fio_mixed_70_30_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Windows Server 2025,Docker-WSL2,Container,cgroup,fio_mixed_70_30_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Windows Server 2025,Docker-WSL2,Container,cgroup,fio_rand_4k_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Windows Server 2025,Docker-WSL2,Container,cgroup,fio_rand_4k_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Windows Server 2025,Docker-WSL2,Container,cgroup,fio_seq_rw_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Windows Server 2025,Docker-WSL2,Container,cgroup,fio_seq_rw_cgroup_throttled_usec,us,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
Windows Server 2025,Docker-WSL2,Container,cgroup,fractal_cgroup_nr_throttled,count,10,0.0,0.0,0.0,0.0,0.0,0.0,,,8,0.0,0.0,0.0,0.0,,,0
